tanggal,kode_prov,nama_prov,kode_kab,nama_kab,closecontact,closecontact_dikarantina,closecontact_discarded,suspect,suspect_diisolasi,suspect_discarded,probable,probable_diisolasi,probable_discarded,probable_meninggal,confirmation,confirmation_selesai,confirmation_meninggal,pertumbuhan_closecontact,pertumbuhan_closecontact_discarded,pertumbuhan_closecontact_dikarantina,pertumbuhan_suspect,pertumbuhan_suspect_discarded,pertumbuhan_suspect_diisolasi,pertumbuhan_probable,pertumbuhan_probable_discarded,pertumbuhan_probable_diisolasi,pertumbuhan_probable_meninggal,pertumbuhan_confirmation,pertumbuhan_confirmation_selesai,pertumbuhan_confirmation_meninggal,
2020-08-03,32,Provinsi Jawa Barat,3217,KAB. BANDUNG BARAT,0,0,0,0,0,0,0,0,0,0,101,76,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-03,32,Provinsi Jawa Barat,3204,KAB. BANDUNG,0,0,0,0,0,0,0,0,0,0,227,117,6,0,0,0,0,0,0,0,0,0,0,2,0,0,
2020-08-03,32,Provinsi Jawa Barat,3205,KAB. GARUT,0,0,0,0,0,0,0,0,0,0,35,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-03,32,Provinsi Jawa Barat,3279,KOTA BANJAR,0,0,0,0,0,0,0,0,0,0,12,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-03,32,Provinsi Jawa Barat,3275,KOTA BEKASI,0,0,0,0,0,0,0,0,0,0,808,518,32,0,0,0,0,0,0,0,0,0,0,16,0,0,
2020-08-03,32,Provinsi Jawa Barat,3276,KOTA DEPOK,0,0,0,0,0,0,0,0,0,0,1225,903,40,0,0,0,0,0,0,0,0,0,0,3,0,0,
2020-08-03,32,Provinsi Jawa Barat,0000,BELUM TERIDENTIFIKASI,0,0,0,0,0,0,0,0,0,0,1638,761,5,0,0,0,0,0,0,0,0,0,0,0,47,0,
2020-08-03,32,Provinsi Jawa Barat,3202,KAB. SUKABUMI,0,0,0,0,0,0,0,0,0,0,102,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-03,32,Provinsi Jawa Barat,3206,KAB. TASIKMALAYA,0,0,0,0,0,0,0,0,0,0,38,7,1,0,0,0,0,0,0,0,0,0,0,3,0,0,
2020-08-03,32,Provinsi Jawa Barat,3209,KAB. CIREBON,0,0,0,0,0,0,0,0,0,0,41,15,3,0,0,0,0,0,0,0,0,0,0,1,0,0,
2020-08-03,32,Provinsi Jawa Barat,3216,KAB. BEKASI,0,0,0,0,0,0,0,0,0,0,430,230,28,0,0,0,0,0,0,0,0,0,0,2,0,0,
2020-08-03,32,Provinsi Jawa Barat,3218,KAB. PANGANDARAN,0,0,0,0,0,0,0,0,0,0,23,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-03,32,Provinsi Jawa Barat,3277,KOTA CIMAHI,0,0,0,0,0,0,0,0,0,0,158,136,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-03,32,Provinsi Jawa Barat,3271,KOTA BOGOR,0,0,0,0,0,0,0,0,0,0,292,198,18,0,0,0,0,0,0,0,0,0,0,2,0,0,
2020-08-03,32,Provinsi Jawa Barat,3201,KAB. BOGOR,0,0,0,0,0,0,0,0,0,0,403,245,9,0,0,0,0,0,0,0,0,0,0,0,1,0,
2020-08-03,32,Provinsi Jawa Barat,3273,KOTA BANDUNG,0,0,0,0,0,0,0,0,0,0,570,388,43,0,0,0,0,0,0,0,0,0,0,3,0,0,
2020-08-03,32,Provinsi Jawa Barat,3212,KAB. INDRAMAYU,0,0,0,0,0,0,0,0,0,0,52,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-03,32,Provinsi Jawa Barat,3272,KOTA SUKABUMI,0,0,0,0,0,0,0,0,0,0,63,46,0,0,0,0,0,0,0,0,0,0,0,9,0,0,
2020-08-03,32,Provinsi Jawa Barat,3215,KAB. KARAWANG,0,0,0,0,0,0,0,0,0,0,104,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-03,32,Provinsi Jawa Barat,3274,KOTA CIREBON,0,0,0,0,0,0,0,0,0,0,37,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-03,32,Provinsi Jawa Barat,3207,KAB. CIAMIS,0,0,0,0,0,0,0,0,0,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-04,32,Provinsi Jawa Barat,3208,KAB. KUNINGAN,0,0,0,0,0,0,0,0,0,0,62,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-04,32,Provinsi Jawa Barat,3211,KAB. SUMEDANG,0,0,0,0,0,0,0,0,0,0,36,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2020-08-04,32,Provinsi Jawa Barat,3213,KAB. SUBANG,0,0,0,0,0,0,0,0,0,0,86,51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-04,32,Provinsi Jawa Barat,3214,KAB. PURWAKARTA,0,0,0,0,0,0,0,0,0,0,55,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
